"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","msdtc.exe","1976","LISTENING","0.0.0.0:61189","0.0.0.0:0","0.0.0.0","61189",,"0.0.0.0","0",
"TCP","lsass.exe","848","LISTENING","0.0.0.0:63539","0.0.0.0:0","0.0.0.0","63539",,"0.0.0.0","0",
"TCP","cvd.exe","78312","LISTENING","0.0.0.0:63747","0.0.0.0:0","0.0.0.0","63747",,"0.0.0.0","0",
"TCP","cvd.exe","78312","LISTENING","0.0.0.0:63749","0.0.0.0:0","0.0.0.0","63749",,"0.0.0.0","0",
"TCP","cvd.exe","78312","ESTABLISHED","127.0.0.1:63751","127.0.0.1:63752","127.0.0.1","63751",,"127.0.0.1","63752",
"TCP","cvd.exe","78312","ESTABLISHED","127.0.0.1:63752","127.0.0.1:63751","127.0.0.1","63752",,"127.0.0.1","63751",
"TCP","cvd.exe","78312","ESTABLISHED","127.0.0.1:63753","127.0.0.1:8402","127.0.0.1","63753",,"127.0.0.1","8402",
"TCP","cvd.exe","78312","LISTENING","127.0.0.1:63758","0.0.0.0:0","127.0.0.1","63758",,"0.0.0.0","0",
"TCP","cvd.exe","78312","LISTENING","127.0.0.1:63761","0.0.0.0:0","127.0.0.1","63761",,"0.0.0.0","0",
"TCP","GXHSMService.exe","17160","ESTABLISHED","127.0.0.1:63766","127.0.0.1:8402","127.0.0.1","63766",,"127.0.0.1","8402",
"TCP","GXHSMService.exe","17160","ESTABLISHED","127.0.0.1:63771","127.0.0.1:63772","127.0.0.1","63771",,"127.0.0.1","63772",
"TCP","GXHSMService.exe","17160","ESTABLISHED","127.0.0.1:63772","127.0.0.1:63771","127.0.0.1","63772",,"127.0.0.1","63771",
"TCP","services.exe","832","LISTENING","0.0.0.0:64442","0.0.0.0:0","0.0.0.0","64442",,"0.0.0.0","0",
"TCP","svchost.exe","6852","LISTENING","0.0.0.0:64445","0.0.0.0:0","0.0.0.0","64445",,"0.0.0.0","0",
"TCP","msdtc.exe","5932","LISTENING","0.0.0.0:64551","0.0.0.0:0","0.0.0.0","64551",,"0.0.0.0","0",
"TCP","System","4","LISTENING","0.0.0.0:80","0.0.0.0:0","0.0.0.0","80",,"0.0.0.0","0",
"TCP","System","4","LISTENING","0.0.0.0:445","0.0.0.0:0","0.0.0.0","445",,"0.0.0.0","0",
"TCP","System","4","LISTENING","0.0.0.0:5985","0.0.0.0:0","0.0.0.0","5985",,"0.0.0.0","0",
"TCP","macmnsvc.exe","1740","LISTENING","0.0.0.0:8085","0.0.0.0:0","0.0.0.0","8085",,"0.0.0.0","0",
"TCP","System","4","LISTENING","0.0.0.0:47001","0.0.0.0:0","0.0.0.0","47001",,"0.0.0.0","0",
"UDP","svchost.exe","720","*","0.0.0.0:123","*:*","0.0.0.0","123",,"*","*",
"UDP","System","4","*","151.143.92.80:137","*:*","151.143.92.80","137",,"*","*",
"UDP","System","4","*","151.143.92.84:137","*:*","151.143.92.84","137",,"*","*",
"UDP","System","4","*","151.143.92.89:137","*:*","151.143.92.89","137",,"*","*",
"UDP","System","4","*","151.143.92.93:137","*:*","151.143.92.93","137",,"*","*",
"UDP","System","4","*","169.254.2.131:137","*:*","169.254.2.131","137",,"*","*",
"UDP","System","4","*","151.143.92.80:138","*:*","151.143.92.80","138",,"*","*",
"UDP","System","4","*","151.143.92.84:138","*:*","151.143.92.84","138",,"*","*",
"UDP","System","4","*","151.143.92.89:138","*:*","151.143.92.89","138",,"*","*",
"UDP","System","4","*","151.143.92.93:138","*:*","151.143.92.93","138",,"*","*",
"UDP","System","4","*","169.254.2.131:138","*:*","169.254.2.131","138",,"*","*",
"UDP","snmp.exe","2408","*","0.0.0.0:161","*:*","0.0.0.0","161",,"*","*",
"UDP","svchost.exe","604","*","0.0.0.0:500","*:*","0.0.0.0","500",,"*","*",
"UDP","sqlbrowser.exe","2504","*","0.0.0.0:1434","*:*","0.0.0.0","1434",,"*","*",
"UDP","System","4","*","151.143.92.84:3343","*:*","151.143.92.84","3343",,"*","*",
"UDP","System","4","*","172.16.39.101:3343","*:*","172.16.39.101","3343",,"*","*",
"UDP","System","4","*","172.16.64.23:3343","*:*","172.16.64.23","3343",,"*","*",
"UDP","svchost.exe","604","*","0.0.0.0:4500","*:*","0.0.0.0","4500",,"*","*",
"UDP","svchost.exe","512","*","0.0.0.0:5355","*:*","0.0.0.0","5355",,"*","*",
"UDP","svchost.exe","604","*","127.0.0.1:49423","*:*","127.0.0.1","49423",,"*","*",
"UDP","rhs.exe","5728","*","127.0.0.1:49868","*:*","127.0.0.1","49868",,"*","*",
"UDP","CcmExec.exe","2560","*","127.0.0.1:53966","*:*","127.0.0.1","53966",,"*","*",
"UDP","snmp.exe","2408","*","0.0.0.0:55935","*:*","0.0.0.0","55935",,"*","*",
"UDP","HealthService.exe","1668","*","127.0.0.1:56013","*:*","127.0.0.1","56013",,"*","*",
"UDP","svchost.exe","512","*","127.0.0.1:58048","*:*","127.0.0.1","58048",,"*","*",
"UDP","lsass.exe","848","*","127.0.0.1:58049","*:*","127.0.0.1","58049",,"*","*",
"UDP","macmnsvc.exe","1740","*","0.0.0.0:8082","*:*","0.0.0.0","8082",,"*","*",
"TCPV6","System","4","LISTENING","[0:0:0:0:0:0:0:0]:80","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","svchost.exe","188","LISTENING","[0:0:0:0:0:0:0:0]:135","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","System","4","LISTENING","[0:0:0:0:0:0:0:0]:445","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","hpsmhd.exe","2756","LISTENING","[0:0:0:0:0:0:0:0]:2301","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","hpsmhd.exe","2756","LISTENING","[0:0:0:0:0:0:0:0]:2381","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","OPTSA.exe","2708","LISTENING","[0:0:0:0:0:0:0:0]:2408","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","CmRcService.exe","7272","LISTENING","[0:0:0:0:0:0:0:0]:2701","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","clussvc.exe","3260","LISTENING","[0:0:0:0:0:0:0:0]:3343","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","svchost.exe","6784","LISTENING","[0:0:0:0:0:0:0:0]:3389","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","System","4","LISTENING","[0:0:0:0:0:0:0:0]:5985","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","macmnsvc.exe","1740","LISTENING","[0:0:0:0:0:0:0:0]:8085","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","System","4","LISTENING","[0:0:0:0:0:0:0:0]:47001","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","wininit.exe","688","LISTENING","[0:0:0:0:0:0:0:0]:49152","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","svchost.exe","568","LISTENING","[0:0:0:0:0:0:0:0]:49160","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","svchost.exe","604","LISTENING","[0:0:0:0:0:0:0:0]:49162","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","dllhost.exe","10728","LISTENING","[0:0:0:0:0:0:0:0]:57062","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","clussvc.exe","3260","LISTENING","[0:0:0:0:0:0:0:0]:60441","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","msdtc.exe","1976","LISTENING","[0:0:0:0:0:0:0:0]:61189","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","lsass.exe","848","LISTENING","[0:0:0:0:0:0:0:0]:63539","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","cvd.exe","78312","LISTENING","[0:0:0:0:0:0:0:0]:63748","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","services.exe","832","LISTENING","[0:0:0:0:0:0:0:0]:64442","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","svchost.exe","6852","LISTENING","[0:0:0:0:0:0:0:0]:64445","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"TCPV6","msdtc.exe","5932","LISTENING","[0:0:0:0:0:0:0:0]:64551","[0:0:0:0:0:0:0:0]:0","[0","0",,"[0","0",
"UDPV6","svchost.exe","720","*","[0:0:0:0:0:0:0:0]:123","*:*","[0","0",,"*","*",
"UDPV6","snmp.exe","2408","*","[0:0:0:0:0:0:0:0]:161","*:*","[0","0",,"*","*",
"UDPV6","svchost.exe","604","*","[0:0:0:0:0:0:0:0]:500","*:*","[0","0",,"*","*",
"UDPV6","sqlbrowser.exe","2504","*","[0:0:0:0:0:0:0:0]:1434","*:*","[0","0",,"*","*",
"UDPV6","svchost.exe","604","*","[0:0:0:0:0:0:0:0]:4500","*:*","[0","0",,"*","*",
"UDPV6","macmnsvc.exe","1740","*","[0:0:0:0:0:0:0:0]:8082","*:*","[0","0",,"*","*",
