"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","System","4","SYN_SENT","151.143.78.74:54445","172.16.8.39:445","151.143.78.74","54445",,"172.16.8.39","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54446","172.16.8.39:139","151.143.78.74","54446",,"172.16.8.39","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:64669","151.143.78.74","135",,"151.143.61.23","64669",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:64670","151.143.78.74","49154",,"151.143.61.23","64670",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:64737","151.143.78.74","135",,"151.143.61.23","64737",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:64738","151.143.78.74","49154",,"151.143.61.23","64738",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:64778","151.143.78.74","135",,"151.143.61.23","64778",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:64779","151.143.78.74","49154",,"151.143.61.23","64779",
"TCP","System","4","SYN_SENT","151.143.78.74:54458","172.16.8.44:445","151.143.78.74","54458",,"172.16.8.44","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54459","172.16.8.44:139","151.143.78.74","54459",,"172.16.8.44","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:64794","151.143.78.74","135",,"151.143.61.23","64794",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:64795","151.143.78.74","49154",,"151.143.61.23","64795",
"TCP","CcmExec.exe","2432","ESTABLISHED","151.143.78.74:54467","151.143.56.37:80","151.143.78.74","54467",,"151.143.56.37","80",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:64822","151.143.78.74","135",,"151.143.61.23","64822",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:64823","151.143.78.74","49154",,"151.143.61.23","64823",
"TCP","[System Process]","0","TIME_WAIT","151.143.78.74:54467","151.143.56.37:80","151.143.78.74","54467",,"151.143.56.37","80",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:64866","151.143.78.74","135",,"151.143.61.23","64866",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:64867","151.143.78.74","49154",,"151.143.61.23","64867",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:64891","151.143.78.74","135",,"151.143.61.23","64891",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:64892","151.143.78.74","49154",,"151.143.61.23","64892",
"TCP","System","4","SYN_SENT","151.143.78.74:54468","172.16.8.42:445","151.143.78.74","54468",,"172.16.8.42","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54469","172.16.8.42:139","151.143.78.74","54469",,"172.16.8.42","139",
"TCP","System","4","SYN_SENT","151.143.78.74:54477","172.16.8.39:445","151.143.78.74","54477",,"172.16.8.39","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54478","172.16.8.39:139","151.143.78.74","54478",,"172.16.8.39","139",
"TCP","System","4","ESTABLISHED","151.143.78.74:54479","151.143.56.202:445","151.143.78.74","54479",,"151.143.56.202","445",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:64909","151.143.78.74","135",,"151.143.61.23","64909",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:64910","151.143.78.74","49154",,"151.143.61.23","64910",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:64993","151.143.78.74","135",,"151.143.61.23","64993",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:64994","151.143.78.74","49154",,"151.143.61.23","64994",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65022","151.143.78.74","135",,"151.143.61.23","65022",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65023","151.143.78.74","49154",,"151.143.61.23","65023",
"TCP","System","4","SYN_SENT","151.143.78.74:54490","172.16.8.44:445","151.143.78.74","54490",,"172.16.8.44","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54491","172.16.8.44:139","151.143.78.74","54491",,"172.16.8.44","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65042","151.143.78.74","135",,"151.143.61.23","65042",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65043","151.143.78.74","49154",,"151.143.61.23","65043",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65086","151.143.78.74","135",,"151.143.61.23","65086",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65087","151.143.78.74","49154",,"151.143.61.23","65087",
"TCP","System","4","ESTABLISHED","151.143.78.74:54499","151.143.56.202:445","151.143.78.74","54499",,"151.143.56.202","445",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65112","151.143.78.74","135",,"151.143.61.23","65112",
