"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10100","151.143.101.9:1025","151.143.3.139","10100",,"151.143.101.9","1025",
"TCP","CcmExec.exe","3616","ESTABLISHED","151.143.3.139:10102","151.143.101.24:80","151.143.3.139","10102",,"151.143.101.24","80",
"TCP","svchost.exe","984","ESTABLISHED","151.143.3.139:10103","151.143.101.24:8530","151.143.3.139","10103",,"151.143.101.24","8530",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10106","74.125.239.34:443","151.143.3.139","10106",,"74.125.239.34","443",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10107","74.125.239.32:443","151.143.3.139","10107",,"74.125.239.32","443",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10108","151.143.101.7:135","151.143.3.139","10108",,"151.143.101.7","135",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10109","151.143.101.7:49155","151.143.3.139","10109",,"151.143.101.7","49155",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10108","151.143.101.7:135","151.143.3.139","10108",,"151.143.101.7","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10109","151.143.101.7:49155","151.143.3.139","10109",,"151.143.101.7","49155",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10110","151.143.101.9:135","151.143.3.139","10110",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10111","151.143.101.9:1025","151.143.3.139","10111",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10110","151.143.101.9:135","151.143.3.139","10110",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10111","151.143.101.9:1025","151.143.3.139","10111",,"151.143.101.9","1025",
"TCP","System","4","ESTABLISHED","151.143.3.139:10112","151.143.101.7:445","151.143.3.139","10112",,"151.143.101.7","445",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10106","74.125.239.34:443","151.143.3.139","10106",,"74.125.239.34","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10107","74.125.239.32:443","151.143.3.139","10107",,"74.125.239.32","443",
"UDP","taskhost.exe","8780","*","127.0.0.1:55119","*:*","127.0.0.1","55119",,"*","*",
"TCP","CcmExec.exe","3616","ESTABLISHED","151.143.3.139:10123","151.143.101.24:80","151.143.3.139","10123",,"151.143.101.24","80",
"TCP","Wanova.Desktop.Service.exe","3432","ESTABLISHED","151.143.3.139:10124","151.143.101.7:135","151.143.3.139","10124",,"151.143.101.7","135",
"TCP","Wanova.Desktop.Service.exe","3432","ESTABLISHED","151.143.3.139:10125","151.143.101.7:49155","151.143.3.139","10125",,"151.143.101.7","49155",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10126","151.143.101.13:389","151.143.3.139","10126",,"151.143.101.13","389",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10124","151.143.101.7:135","151.143.3.139","10124",,"151.143.101.7","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10125","151.143.101.7:49155","151.143.3.139","10125",,"151.143.101.7","49155",
"TCP","CcmExec.exe","3616","ESTABLISHED","151.143.3.139:10127","151.143.101.24:80","151.143.3.139","10127",,"151.143.101.24","80",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10129","151.143.3.80:9443","151.143.3.139","10129",,"151.143.3.80","9443",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10131","151.143.101.7:135","151.143.3.139","10131",,"151.143.101.7","135",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10132","151.143.101.7:49155","151.143.3.139","10132",,"151.143.101.7","49155",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10133","151.143.101.9:135","151.143.3.139","10133",,"151.143.101.9","135",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10134","151.143.101.9:1025","151.143.3.139","10134",,"151.143.101.9","1025",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10131","151.143.101.7:135","151.143.3.139","10131",,"151.143.101.7","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10132","151.143.101.7:49155","151.143.3.139","10132",,"151.143.101.7","49155",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10133","151.143.101.9:135","151.143.3.139","10133",,"151.143.101.9","135",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10134","151.143.101.9:1025","151.143.3.139","10134",,"151.143.101.9","1025",
